Age,Occupation,MaritalStatus,Dependents,ResidentialStatus,AddressDuration,CreditScore,IncomeLevel,LoanAmountRequested,LoanTerm,PurposeoftheLoan,Collateral,InterestRate,PreviousLoans,ExistingLiabilities,ApplicationBehavior,LocationofApplication,ChangeinBehavior,TimeofTransaction,AccountActivity,PaymentBehavior,Blacklists,EmploymentVerification,PastFinancialMalpractices,DeviceInformation,SocialMediaFootprint,ConsistencyinData,Referral,IsFraud
56,Teacher,Divorced,1,Own,189,830,16782,300000,27,home,Yes,4.5,1,5688,Normal,Local,Yes,10:50,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
25,Artist,Married,4,Own,193,830,27916,62838,1,medical,No,5.2,1,3663,Rapid,Local,No,09:40,Normal,On-time,No,Not Verified,No,Laptop,No,Consistent,Online,No
30,Technician,Single,2,Rent,74,734,71900,2000,15,auto,No,4.5,0,4978,Normal,Unusual,No,16:00,Unusual,Defaulted,Yes,Verified,No,Mobile,No,Consistent,Online,Yes
35,Musician,Single,0,Rent,56,673,101779,2000,21,home,No,4.5,2,5221,Normal,Local,No,03:00,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Online,No
23,Accountant,Single,2,Own,204,830,0,55986,30,home,No,4.5,1,3145,Normal,Local,No,09:30,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
26,Self-employed,Single,1,Own,1,679,17897,2000,13,personal,No,4.5,1,4678,Normal,Local,No,13:30,Normal,On-time,No,Not Verified,No,Mobile,Yes,Inconsistent,Online,Yes
37,Engineer,Single,0,Rent,8,817,50936,11299,1,personal,No,4.5,2,2562,Normal,Unusual,No,12:10,Normal,On-time,No,Not Verified,No,Mobile,Yes,Inconsistent,Online,No
22,Self-employed,Divorced,1,Rent,50,794,65764,2000,1,education,No,5.6,1,0,Rapid,Unusual,No,15:40,Unusual,On-time,Yes,Not Verified,No,Mobile,No,Consistent,Online,Yes
56,Engineer,Married,0,Own,1,736,81338,56637,29,travel,No,5.5,2,1717,Normal,Local,No,14:40,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
52,Engineer,Single,3,Rent,1,708,7167,8990,6,auto,No,6.2,1,3474,Normal,Local,No,14:00,Normal,On-time,No,Not Verified,No,Mobile,Yes,Consistent,Online,No
22,Self-employed,Single,1,Rent,28,811,35449,2000,2,personal,No,4.5,0,4414,Normal,Unusual,No,03:00,Unusual,On-time,Yes,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
56,Manager,Married,0,Live with Parents,229,804,150000,71242,3,auto,No,7.4,3,63,Rapid,Local,No,11:50,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
22,Doctor,Divorced,4,Rent,240,830,29329,72676,24,auto,No,4.9,3,2252,Normal,Local,No,12:30,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
56,Manager,Single,3,Own,281,794,84984,46162,17,home,No,6,1,7000,Normal,Local,No,09:30,Normal,On-time,No,Verified,No,Laptop,Yes,Inconsistent,Referral,No
34,Technician,Single,1,Rent,76,782,8375,2000,1,education,No,5.6,1,3972,Normal,Local,No,12:45,Normal,On-time,No,Verified,No,Tablet,No,Inconsistent,Online,Yes
56,Architect,Divorced,0,Own,48,817,64869,65034,8,home,No,6.1,4,4350,Rapid,Local,No,10:50,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
34,Musician,Married,0,Rent,360,830,90908,79504,15,home,No,4.5,1,0,Rapid,Unusual,No,10:00,Normal,Late,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Engineer,Single,1,Rent,79,732,6007,50315,1,auto,No,7,1,4806,Normal,Unusual,No,15:40,Normal,On-time,No,Verified,No,Mobile,No,Inconsistent,Online,No
22,Engineer,Single,1,Rent,50,784,475,17477,5,auto,No,5.9,0,0,Normal,Unusual,No,03:00,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,Yes
22,Architect,Single,1,Own,102,727,36171,63709,30,home,No,4.5,3,2941,Normal,Local,No,10:10,Normal,On-time,Yes,Verified,No,Tablet,No,Inconsistent,Online,No
22,Manager,Divorced,1,Rent,86,830,0,13556,1,travel,No,8,0,0,Rapid,Local,No,11:50,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
27,Architect,Married,1,Own,219,830,3531,300000,30,home,No,4.5,2,1084,Normal,Local,No,12:00,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Software Developer,Single,1,Rent,1,798,40923,2000,14,auto,No,4.5,2,2011,Rapid,Local,No,10:20,Unusual,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,No
22,Artist,Married,0,Own,1,687,0,75842,30,travel,No,4.5,2,3918,Normal,Unusual,No,10:40,Normal,Late,No,Verified,No,Mobile,No,Consistent,Referral,No
31,Artist,Divorced,0,Own,163,764,150000,56457,30,home,No,6.8,1,3085,Normal,Local,No,14:15,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
34,Accountant,Single,0,Rent,1,580,23007,2000,3,travel,No,4.5,1,0,Normal,Unusual,No,11:00,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Accountant,Divorced,0,Rent,1,784,139962,2000,9,education,No,4.5,2,0,Rapid,Local,No,11:00,Normal,Late,No,Verified,No,Desktop,No,Consistent,Referral,No
23,Artist,Single,0,Rent,89,804,53652,2000,1,auto,No,8,1,3447,Rapid,Unusual,No,11:50,Unusual,Defaulted,Yes,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Teacher,Single,4,Own,1,770,6097,46516,30,auto,No,4.5,1,7000,Normal,Local,No,15:30,Normal,Late,No,Verified,No,Desktop,No,Inconsistent,Referral,No
22,Musician,Single,1,Rent,27,772,31404,2000,8,personal,No,4.5,2,4359,Rapid,Unusual,No,10:00,Unusual,On-time,No,Not Verified,No,Tablet,No,Inconsistent,Online,Yes
35,Engineer,Divorced,2,Own,1,812,150000,300000,22,home,Yes,4.5,1,7000,Rapid,Local,Yes,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
38,Engineer,Divorced,4,Own,183,727,27387,3327,1,home,No,4.5,2,5155,Rapid,Local,No,16:30,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,No
28,Unemployed,Divorced,1,Rent,56,699,10377,2000,1,personal,No,6.2,0,0,Normal,Local,No,13:20,Normal,On-time,Yes,Verified,No,Mobile,Yes,Consistent,Referral,No
22,Artist,Single,0,Rent,55,815,93174,72786,10,auto,No,7.7,1,214,Rapid,Local,No,03:00,Unusual,On-time,Yes,Verified,No,Desktop,No,Consistent,Online,No
56,Accountant,Divorced,0,Own,320,830,62786,71957,11,home,No,5.3,4,824,Normal,Local,No,11:15,Normal,On-time,No,Verified,Yes,Tablet,No,Inconsistent,Online,No
35,Software Developer,Married,0,Own,86,830,28973,75778,1,auto,No,5.8,4,3996,Normal,Local,Yes,14:15,Normal,On-time,No,Verified,No,Desktop,Yes,Inconsistent,Referral,No
52,Manager,Single,4,Live with Parents,113,830,3191,59771,23,education,No,4.9,3,563,Normal,Local,Yes,11:50,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
41,Teacher,Divorced,1,Own,194,830,23404,61084,19,home,No,4.5,4,4093,Normal,Unusual,Yes,16:00,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
52,Teacher,Divorced,1,Own,5,664,49286,64248,30,home,Yes,4.5,1,7000,Normal,Local,Yes,15:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Manager,Married,1,Own,1,830,10306,2000,23,auto,No,4.5,3,4074,Normal,Local,Yes,09:40,Normal,Late,No,Verified,No,Laptop,Yes,Consistent,Referral,No
22,Designer,Single,0,Own,43,830,91726,15099,4,travel,No,5.6,1,2065,Normal,Local,No,10:10,Normal,Defaulted,No,Verified,No,Desktop,No,Inconsistent,Online,No
35,Manager,Divorced,4,Own,231,830,23955,70864,30,home,No,5.9,3,3318,Rapid,Local,No,14:15,Normal,Late,No,Verified,No,Desktop,No,Consistent,Referral,No
45,Clerk,Single,0,Rent,92,773,5336,18594,4,auto,No,6.9,1,4530,Rapid,Local,No,13:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
36,Software Developer,Single,0,Own,59,759,17592,69070,9,auto,No,5.4,0,2212,Normal,Local,No,03:00,Normal,On-time,No,Not Verified,No,Tablet,No,Inconsistent,Online,Yes
39,Doctor,Divorced,2,Rent,89,830,36125,300000,26,medical,No,7.3,1,1207,Normal,Local,No,11:50,Normal,On-time,Yes,Verified,No,Tablet,No,Consistent,Online,Yes
56,Lawyer,Married,2,Own,47,830,47417,73008,30,home,No,4.5,2,7000,Rapid,Local,Yes,10:50,Unusual,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
22,Unemployed,Single,0,Rent,94,778,12307,50466,1,personal,No,4.5,1,5014,Normal,Local,No,16:00,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
35,Manager,Single,2,Rent,36,830,3015,28744,11,home,No,7.7,4,2691,Rapid,Local,No,11:50,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,Yes
26,Lawyer,Divorced,1,Own,197,819,150000,71971,30,home,Yes,5.5,4,0,Normal,Local,Yes,12:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Chef,Single,1,Rent,33,813,37112,7867,12,auto,No,4.5,1,3617,Normal,Local,No,11:00,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
48,Manager,Divorced,4,Own,1,830,30930,300000,30,education,Yes,4.5,3,7000,Normal,Local,Yes,10:10,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
33,Accountant,Single,1,Own,88,805,0,26477,1,personal,No,8,2,2281,Normal,Local,No,14:10,Normal,On-time,Yes,Not Verified,No,Mobile,No,Consistent,Online,Yes
22,Architect,Single,1,Rent,53,830,36891,30998,30,personal,No,6.4,2,3383,Rapid,Unusual,No,03:00,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
22,Clerk,Divorced,3,Rent,54,650,4014,2000,30,home,Yes,5.2,4,4116,Normal,Unusual,No,14:00,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
22,Manager,Single,4,Own,221,648,13168,17823,15,medical,No,4.5,1,5154,Rapid,Local,Yes,13:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Online,No
22,Engineer,Married,1,Rent,92,828,5450,38552,1,personal,No,5.3,0,3913,Normal,Unusual,No,11:00,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
43,Technician,Single,1,Rent,50,685,3655,57453,6,auto,Yes,6.2,0,4978,Normal,Local,No,09:40,Unusual,Defaulted,No,Not Verified,No,Tablet,No,Consistent,Online,Yes
31,Technician,Single,3,Rent,84,830,55846,59168,7,home,No,5,1,3715,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
30,Designer,Single,4,Own,26,830,69283,2000,30,education,Yes,4.9,3,1244,Rapid,Local,No,14:15,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
56,Software Developer,Married,4,Own,1,830,89216,65172,30,home,Yes,5.2,1,0,Normal,Local,Yes,15:30,Normal,On-time,No,Not Verified,No,Mobile,No,Consistent,Referral,No
42,Clerk,Married,0,Own,1,830,97210,12134,4,medical,Yes,4.5,3,1535,Normal,Local,No,16:30,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Referral,No
22,Designer,Single,3,Own,85,830,77442,48631,2,home,No,8,1,2142,Rapid,Unusual,Yes,16:30,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,Yes
22,Manager,Divorced,0,Own,42,675,28203,2000,19,home,No,4.5,1,2666,Normal,Unusual,No,10:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
29,Architect,Divorced,4,Own,100,830,150000,70137,25,auto,No,4.9,0,164,Normal,Local,No,10:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
45,Technician,Single,4,Own,311,688,14929,80434,16,education,No,6,1,0,Normal,Local,Yes,14:15,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Referral,No
22,Designer,Single,1,Rent,88,710,1382,67628,1,personal,No,4.5,0,5066,Rapid,Unusual,No,14:00,Normal,Late,No,Verified,No,Mobile,No,Inconsistent,Online,No
56,Manager,Married,0,Own,112,830,68458,64756,6,home,Yes,4.5,1,7000,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
22,Teacher,Single,1,Own,1,830,23552,8789,2,education,No,4.5,1,310,Normal,Local,Yes,15:30,Unusual,On-time,Yes,Verified,No,Laptop,No,Consistent,Online,No
25,Accountant,Divorced,0,Own,225,830,150000,66800,15,home,Yes,4.5,4,1938,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
32,Chef,Single,0,Rent,90,793,2099,71162,6,education,No,5.1,0,3207,Rapid,Local,No,10:00,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Online,No
22,Doctor,Single,1,Rent,44,830,23517,2000,1,education,No,4.6,0,2273,Normal,Unusual,No,15:30,Normal,On-time,Yes,Not Verified,No,Desktop,No,Consistent,Referral,No
22,Retired,Single,0,Own,1,830,46449,2000,1,personal,No,4.5,2,3387,Rapid,Local,No,11:50,Normal,Late,No,Verified,No,Desktop,No,Inconsistent,Online,Yes
30,Chef,Divorced,4,Own,1,729,13943,24280,11,education,Yes,4.5,4,4134,Normal,Local,No,10:50,Normal,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,No
22,Doctor,Married,1,Rent,1,830,85502,47085,8,personal,No,4.5,2,1446,Normal,Local,No,12:45,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Manager,Divorced,1,Own,5,792,5114,30571,11,auto,No,4.5,1,0,Normal,Local,No,10:20,Normal,Defaulted,No,Verified,No,Mobile,No,Consistent,Online,No
45,Manager,Married,4,Own,1,830,150000,209656,9,home,Yes,4.5,1,5639,Normal,Local,No,12:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
46,Manager,Married,0,Own,1,830,117359,300000,30,home,Yes,4.5,2,0,Normal,Local,Yes,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
56,Doctor,Married,0,Own,1,818,91997,57313,27,home,Yes,6.3,4,3579,Rapid,Local,No,09:30,Normal,Late,No,Verified,No,Laptop,No,Consistent,Online,No
30,Manager,Single,0,Live with Parents,68,830,27128,33256,10,auto,No,5.8,2,2957,Rapid,Local,No,12:10,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,No
28,Doctor,Married,4,Own,1,729,0,70480,30,medical,Yes,6.2,2,0,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
47,Entrepreneur,Single,4,Rent,1,707,57839,40375,1,home,Yes,5.5,0,0,Normal,Local,Yes,16:00,Normal,On-time,No,Verified,Yes,Laptop,No,Consistent,Online,No
43,Accountant,Divorced,0,Own,7,830,94054,2000,7,home,No,4.5,0,481,Normal,Local,No,16:00,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
56,Manager,Divorced,0,Own,1,654,22571,59675,30,home,Yes,6.9,3,2347,Normal,Unusual,No,09:40,Normal,On-time,No,Verified,Yes,Desktop,No,Consistent,Referral,No
56,Entrepreneur,Divorced,0,Own,238,819,69907,24004,1,medical,No,4.5,2,4300,Rapid,Local,No,12:10,Normal,Late,No,Verified,No,Mobile,Yes,Consistent,Referral,No
22,Software Developer,Divorced,0,Own,68,765,6097,59423,18,travel,Yes,5.7,1,3641,Rapid,Unusual,No,12:30,Normal,On-time,No,Verified,No,Laptop,No,Inconsistent,Online,No
53,Manager,Married,1,Own,67,776,8420,79421,26,home,No,6.8,4,3933,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
36,Manager,Married,4,Own,113,830,150000,69292,7,home,No,4.5,4,3763,Normal,Local,Yes,16:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
22,Engineer,Single,4,Own,137,787,9410,64877,24,home,No,4.5,4,3691,Rapid,Local,Yes,14:15,Normal,Late,No,Verified,No,Laptop,No,Consistent,Referral,No
30,Retired,Married,1,Own,80,830,150000,60156,30,auto,No,4.5,3,6439,Normal,Local,Yes,12:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
47,Manager,Divorced,0,Own,1,830,150000,300000,13,home,Yes,4.5,2,2360,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
40,Entrepreneur,Married,1,Own,26,676,150000,81648,27,home,Yes,4.5,4,7000,Rapid,Local,Yes,10:50,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Referral,No
22,Self-employed,Single,1,Rent,72,827,0,75026,1,personal,No,5.5,1,1524,Normal,Local,No,10:50,Normal,On-time,No,Verified,No,Mobile,No,Inconsistent,Online,Yes
56,Entrepreneur,Divorced,1,Live with Parents,1,830,29688,300000,8,education,Yes,4.5,3,5623,Rapid,Unusual,Yes,09:40,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Referral,No
24,Engineer,Divorced,0,Rent,1,803,27209,17440,14,personal,Yes,4.5,2,3040,Normal,Unusual,No,14:00,Normal,Late,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
53,Entrepreneur,Divorced,4,Own,54,674,135506,2000,26,home,Yes,4.5,4,7000,Rapid,Local,Yes,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
54,Teacher,Divorced,3,Own,114,782,38742,300000,30,home,Yes,4.5,3,7000,Normal,Local,Yes,10:50,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,Yes
53,Teacher,Divorced,0,Own,56,830,150000,28692,24,home,No,4.5,3,3186,Rapid,Local,No,14:15,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Clerk,Single,1,Rent,61,706,74350,17913,5,personal,No,4.5,1,5220,Rapid,Unusual,No,10:20,Normal,On-time,No,Not Verified,Yes,Mobile,No,Inconsistent,Online,Yes
25,Designer,Single,1,Rent,46,686,0,31840,5,personal,No,4.5,2,3707,Rapid,Unusual,No,02:00,Unusual,Defaulted,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Designer,Married,1,Rent,63,787,0,2108,3,education,No,5.1,2,4323,Normal,Local,Yes,09:00,Normal,On-time,No,Not Verified,No,Mobile,No,Consistent,Referral,No
39,Teacher,Divorced,0,Own,91,751,87924,13125,1,home,No,6.2,0,0,Normal,Local,No,03:00,Normal,Late,No,Verified,No,Mobile,No,Consistent,Referral,No
22,Engineer,Single,1,Own,1,817,5983,81913,11,personal,No,4.5,1,1406,Rapid,Local,No,16:30,Normal,Late,No,Verified,No,Tablet,No,Inconsistent,Online,No
29,Engineer,Divorced,4,Rent,1,669,4163,2000,1,auto,No,4.5,2,2478,Normal,Local,No,14:15,Normal,Late,No,Not Verified,No,Tablet,No,Consistent,Online,Yes
42,Chef,Single,0,Own,53,830,47463,60285,1,home,No,4.5,2,0,Rapid,Local,No,12:45,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Online,No
36,Engineer,Single,1,Rent,12,806,1788,2000,1,auto,No,5.2,0,2915,Normal,Unusual,No,02:00,Unusual,Late,No,Not Verified,Yes,Mobile,No,Inconsistent,Online,Yes
22,Teacher,Single,0,Live with Parents,83,582,12913,25524,7,auto,No,5.7,2,3658,Rapid,Local,No,12:10,Unusual,On-time,No,Verified,No,Mobile,Yes,Consistent,Online,No
22,Designer,Single,1,Rent,75,829,34977,57789,1,medical,No,4.6,0,576,Normal,Unusual,No,01:00,Normal,On-time,No,Not Verified,No,Mobile,No,Consistent,Online,No
30,Clerk,Single,0,Rent,74,757,0,5251,16,personal,No,7.7,2,597,Rapid,Unusual,No,10:30,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Online,Yes
33,Engineer,Single,0,Own,62,760,38095,19733,1,auto,No,4.6,0,4030,Normal,Unusual,No,02:00,Normal,Defaulted,Yes,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
33,Accountant,Single,0,Rent,32,611,57385,15079,16,personal,No,4.5,1,4777,Normal,Local,No,12:30,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Software Developer,Divorced,4,Own,171,830,45260,2000,1,home,No,4.5,4,2036,Normal,Local,No,12:45,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
24,Unemployed,Divorced,0,Own,1,830,150000,62102,30,home,No,4.5,2,0,Normal,Local,No,11:50,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
46,Technician,Divorced,0,Live with Parents,53,830,617,8502,22,education,No,4.5,3,7000,Normal,Local,No,15:30,Unusual,On-time,Yes,Verified,No,Desktop,No,Consistent,Referral,No
22,Lawyer,Divorced,0,Own,1,810,44715,29836,30,home,No,4.5,2,2174,Rapid,Local,No,10:50,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
55,Manager,Single,4,Rent,1,806,2732,75659,14,home,No,4.6,1,0,Rapid,Local,No,14:15,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
22,Engineer,Single,0,Rent,1,588,0,50783,1,auto,No,6.2,1,0,Rapid,Local,No,09:40,Normal,On-time,Yes,Not Verified,No,Tablet,No,Inconsistent,Online,No
26,Engineer,Married,1,Own,1,830,0,32455,5,travel,No,4.7,1,52,Normal,Local,No,14:15,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,No
44,Self-employed,Divorced,1,Own,12,639,0,19710,24,education,Yes,4.5,2,4888,Normal,Local,No,14:40,Normal,On-time,No,Verified,No,Tablet,No,Inconsistent,Referral,No
26,Self-employed,Divorced,1,Rent,51,830,71160,2000,11,personal,No,4.5,2,2249,Normal,Unusual,No,13:20,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
37,Engineer,Married,0,Own,50,830,55611,76918,21,auto,Yes,4.5,1,3434,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
40,Manager,Single,0,Rent,360,813,261,15057,12,home,No,4.7,2,4199,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
36,Technician,Single,0,Rent,75,809,7342,61544,3,personal,No,8,2,4199,Normal,Unusual,No,09:30,Unusual,On-time,Yes,Not Verified,No,Mobile,No,Inconsistent,Referral,Yes
34,Musician,Single,0,Live with Parents,360,683,9910,54019,13,personal,No,6.1,1,3692,Normal,Local,No,09:30,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,No
25,Manager,Divorced,3,Rent,1,780,26320,300000,21,home,Yes,4.6,2,7000,Normal,Local,No,10:50,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
24,Unemployed,Single,0,Rent,29,653,0,8592,20,auto,No,4.5,2,0,Normal,Local,No,10:30,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
45,Engineer,Single,0,Rent,1,716,41877,35484,1,auto,No,6.9,0,654,Normal,Unusual,No,09:40,Normal,Defaulted,No,Verified,No,Mobile,No,Inconsistent,Online,Yes
